group_description,group_id,group_name
"Monkey Island is a series of comedy adventure games set in fictional 18th century-like Caribbean Islands, telling the story of the young wannabe-pirate Guybrush Threepwood. The series was originally envisioned as a trilogy by the main designer Ron Gilbert, but he only completed the first two games; the third and the fourth were made without his participation. The latter signified the conclusion of the original series, being the last one developed by LucasArts.

Like most LucasArts adventures, Monkey Island games are ""death-free"" (the player character cannot die), have no ""dead ends"" (the player cannot get irrevocably stuck), and are based on inventory puzzles and branching dialogue. The series' first installment, The Secret of Monkey Island (1990), was also the first adventure game made by LucasArts that answered all of the above requirements, defining the company's adventure game design philosophy.

In 2009, Telltale licensed the property for a five-part episodic adventure game, which eventually became Tales of Monkey Island.

Awards



Computer Gaming World


November 1996 (15th anniversary issue) – #3 Most Memorable Game Hero (Guybrush Threepwood)

November 1996 (15th anniversary issue) – #10 Most Memorable Game Villain (LeChuck)


",1,Monkey Island series
"Games based on the writings of H. P. Lovecraft. These tend to concern themselves mostly with the stories forming the basis for what has become known as the ""Cthulhu mythos."" (Lovecraft himself never used the term.)

Generally made on license from Chaosium, though the pervasive influence of Lovecraft on modern horror writers means there's significant leeway in what to call ""inspired by Lovecraft"" or not.",2,Inspiration: Author - H. P. Lovecraft
"A series of graphical fantasy adventure games featuring the escapades of King Graham and his royal family, rulers of the fairy-tale land of Daventry. It was originally designed by Roberta Williams and developed by Sierra On-Line, Inc.
King's Quest is Sierra's longest-running and largest adventure game series. The first game (1984) is widely regarded as the progenitor of third-person perspective adventures; it combined text input with physical character navigation in a graphically represented world. Like other adventure game series made by the same company, King's Quest switched to icon-based, point-and-click interface in the fifth installment.

Despite its position as the company's flagship adventure series, King's Quest ended the principal phase of its existence with an action/adventure hybrid (1998). Afterwards, the series shared the fate of most adventure game franchises - it was effectively terminated, until interest in it was somewhat renewed, following the appearance of several fan-made remakes of its first installments. An episodic adventure game entitled The Silver Lining (2010) attempted to restore the series, continuing its overarching plot.

Related Links



KQ Omnipedia - An extensive wiki about the series.
",3,King's Quest series
"Space Quest is a series of comedy adventure games developed by Sierra. The games are set in a sci-fi environment and feature the reluctant hero Roger Wilco, a janitor who initially works on one of the space stations and repeatedly saves the galaxy (often by accident), following his motto ""for truth, justice, and really clean floors"". 

The series was conceived by Mark Crowe and Scott Murphy, ""two guys from Andromeda"", according to their self-designation in Space Quest III: The Pirates of Pestulon. Humorous content includes, among others, many parodies and references to famous movie franchises, most notably Star Wars.

Gameplay-wise, the games in the series follow traditional templates Sierra was using for its other adventure games. Early games were particularly notable for placing the main character's life in constant danger, rewarding the player with amusing death scenes and messages in case of failure. Later Space Quest installments concentrated more on puzzle-solving. 

The series ended with Space Quest 6: Roger Wilco in the Spinal Frontier (1995). A few attempts to continue the series were made, including a sequel announced by Sierra in 1996, named Space Quest VII: Return to Roman Numerals. In 2002, a game entitled simply Space Quest begun development by Escape Factory for a release on the Xbox console. None of these sequels were ever completed. The unofficial sequel Space Quest VII was 
in development between 2001 and 2009. It was cancelled after intervention by the copyright holder Vivendi.

Awards



Computer Gaming World


November 1996 (15th anniversary issue) – #5 Most Memorable Game Hero (Roger Wilco)


",4,Space Quest series
"In the early 1990s, Sierra got the idea to remake several of their series-starting titles with their newest development system.  The results were games with the same storyline, but better graphics and sound.",5,Sierra remakes
"A series of comedy games (primarily in adventure genre), originally created by Al Lowe, focusing mostly on the efforts of a middle-aged gentleman named Larry Laffer (and later, his nephew) to have a date with a girl, and maybe also to find the love of his life.

The series started its existence with Leisure Suit Larry in the Land of the Lounge Lizards (1987), though its early precursor, a text adventure named Softporn (1981), is often indicated as the progenitor. Chronologically falling in line with various Quest game series developed by Sierra (such as King's Quest and Space Quest), Larry games followed a similar gameplay evolution: starting with text input (and a text parser that ""understood"" swear words and verbs denoting sexual activities), the series later switched to mouse-driven, point-and-click gameplay with command icons - including the famous ""zipper"" icon, unique to the series, which corresponded to the aforementioned text input peculiarities.

The last Larry game designed by Al Lowe was Love for Sail (1996). The series' classical epoch has come to its end in this installment; however, an attempt to revive the series, steering it into action/arcade, mini-games-based gameplay, was made in 2004 with the release of Magna Cum Laude.

Not included: the 1992 Laffer Utilities, a humorous suite of ""non-productivity"" applications.

Leisure Suit Larry 4

The Larry series was originally planned as a trilogy. If you saw the ending of the third game, you know that it’s well-rounded and final. When designer Al Lowe had finished Larry 3 in 1989, he was somewhat fed up with his creation, and announced that there’d “never be a Larry 4!”

At least not a “normal” adventure game. In 1989, Sierra had ambitious plans to build up an online gaming community. Nobody knew if this would work, but it was clear that it needed a “killer application”; an online adventure game with a score of players working together simultaneously. That’s what Larry 4 was supposed to be. However, the project turned out to be much more complicated than anyone had expected. As Al Lowe describes on his website:

&gt; After a month or so, we knew we were in trouble. I decided to write a checkers game as a simple test case to see if we could actually move objects and communicate. It worked. But we were still a long way from making characters walk and communicate and interact.
&gt; 
&gt; So I wrote a backgammon game. Then chess. Still we had no system to support all the features needed for an adventure game. But we were having so much fun playing against each other, we decided to push what we had into a real product. It became The Sierra Network. TSN was quite successful in its day, especially considering the small numbers of players who also had modems.
&gt; 
&gt; Eventually, when TSN was losing 10 million dollars per year, Ken [Williams] sold half of it to AT&amp;T for 50 million dollars. I laughingly said Sierra was the only company to make money in on-line gaming: by selling out! Later AT&amp;T would pay another 50 mil for the other half. They then sat on it for about a year before giving up and selling the whole thing to America On-Line for 10 million. AOL announced big plans, but never carried through and the whole thing withered up and died without ever seeing the light of day.

When Al Lowe finally decided that the Larry series needed to be continued, and started to work on the next off-line episode, he was reluctant to call it Larry 4. Hadn’t he exclaimed that there wouldn’t be a game with that name? He kept his promise. The next adventure was a ""fifth"" game.

Even though the 4th episode does not exist, it has an official name nevertheless: Leisure Suit Larry 4: The Missing Floppies’.

Related links



Leisure Suit Larry series (Wikipedia)

Two Decades of Leisure Suit Larry (1UP.com, 10th August 2007)


Information also contributed by
-Chris",6,Leisure Suit Larry series
,7,Thexder series
"The Police Quest series are traditional adventure games developed by Sierra, which follow the adventures of Sonny Bonds, a police officer in the fictional city of Lytton, California. The first three games were designed under the supervision of former Highway Patrol officer Jim Walls.

The last game in the series is a departure from the first three, and follows a murder investigation in real-life Los Angeles, led by detective John Carey. Jim Walls was replaced by former LAPD Chief Daryl F. Gates. The adventure games were discontinued after the fourth game, but Sierra continued to publish ""police simulators"" under the brand name SWAT.",8,Police Quest series
"In the MechWarrior games the player is a MechWarrior, a pilot of a Mech (a humanoid battle machine with the weight up to 100 tons). The player is responsible for equipping his Mech with weapons, armor and equipment before entering the battlefield. On the battlefield, the player fights tanks, aeroplanes and other Mechs. Most of the usable weapons produce heat, which will be reduced by time. If a Mech has too much heat, the Mech will be shut down (or explodes, if the heat reaches a too high value).

In the later games of this game group, the player has to ""organise"" (steal, capture or buy) the materials he wishes to use in combat. Allies and battlefield repairs are available in the later games, too. 

Origins

This series of games is based on the pen &amp; paper game MechWarrior, a part of FASA's Battletech universe. Instead of piloting Mechs like the basic BattleTech board game, players created specific characters like spies, pilots, commandos, etc. and developed them on a collection of adventures in classic D&amp;D fashion.

Information also contributed by Zovni.",9,MechWarrior series
Games that are based on the official licensed FASA BattleTech Universe.,10,BattleTech universe
